iter	Passed	Remaining
577	3631	2651
578	3637	2644
579	3642	2637
580	3648	2631
581	3653	2623
582	3659	2617
583	3664	2610
584	3670	2603
585	3675	2596
586	3680	2589
587	3686	2582
588	3691	2575
589	3696	2568
590	3702	2562
591	3707	2555
592	3712	2548
593	3718	2541
594	3723	2534
595	3729	2527
596	3734	2520
597	3739	2514
598	3745	2507
599	3750	2500
600	3756	2493
601	3761	2487
602	3767	2480
603	3773	2474
604	3779	2467
605	3784	2460
606	3790	2454
607	3795	2447
608	3801	2440
609	3806	2433
610	3811	2426
611	3817	2420
612	3822	2413
613	3827	2406
614	3833	2399
615	3838	2392
616	3843	2386
617	3849	2379
618	3854	2372
619	3860	2365
620	3865	2359
621	3871	2352
622	3876	2345
623	3882	2339
624	3887	2332
625	3893	2326
626	3898	2319
627	3904	2312
628	3909	2306
629	3915	2299
630	3920	2292
631	3926	2286
632	3931	2279
633	3937	2272
634	3945	2268
635	3951	2261
636	3957	2255
637	3963	2248
638	3969	2242
639	3977	2237
640	3984	2231
641	3992	2226
642	3997	2219
643	4004	2213
644	4011	2208
645	4022	2204
646	4029	2198
647	4035	2192
648	4044	2187
649	4050	2180
650	4058	2175
651	4064	2169
652	4072	2164
653	4078	2157
654	4085	2151
655	4093	2146
656	4099	2140
657	4109	2135
658	4120	2132
659	4127	2126
660	4136	2121
661	4145	2116
662	4156	2112
663	4166	2108
664	4176	2103
665	4183	2097
666	4188	2091
667	4194	2084
668	4199	2077
669	4205	2071
670	4210	2064
671	4215	2057
672	4221	2051
673	4226	2044
674	4234	2039
675	4242	2033
676	4248	2027
677	4253	2020
678	4259	2013
679	4264	2006
680	4270	2000
681	4275	1993
682	4281	1987
683	4286	1980
684	4291	1973
685	4297	1966
686	4302	1960
687	4307	1953
688	4313	1946
689	4318	1940
690	4323	1933
691	4328	1926
692	4334	1920
693	4339	1913
694	4344	1906
695	4350	1900
696	4355	1893
697	4361	1886
698	4366	1880
699	4372	1873
700	4377	1867
701	4383	1860
702	4388	1854
703	4394	1847
704	4399	1840
705	4404	1834
706	4410	1827
707	4415	1821
708	4421	1814
709	4426	1807
710	4431	1801
711	4436	1794
712	4442	1788
713	4450	1782
714	4455	1776
715	4461	1769
716	4466	1762
717	4471	1756
718	4477	1749
719	4482	1743
720	4488	1736
721	4494	1730
722	4499	1723
723	4504	1717
724	4510	1711
725	4516	1704
726	4521	1697
727	4528	1691
728	4533	1685
729	4541	1679
730	4547	1673
731	4553	1666
732	4559	1660
733	4564	1654
734	4570	1647
735	4576	1641
736	4581	1635
737	4587	1628
738	4593	1622
739	4599	1615
740	4604	1609
741	4613	1604
742	4620	1598
743	4626	1591
744	4631	1585
745	4636	1578
746	4642	1572
747	4647	1565
748	4652	1559
749	4658	1552
750	4670	1548
751	4675	1542
752	4683	1536
753	4694	1531
754	4702	1525
755	4707	1519
756	4713	1512
757	4718	1506
758	4724	1499
759	4729	1493
760	4734	1487
761	4740	1480
762	4745	1474
763	4751	1467
764	4756	1461
765	4762	1454
766	4767	1448
767	4773	1441
768	4778	1435
769	4784	1429
770	4789	1422
771	4795	1416
772	4800	1409
773	4806	1403
774	4811	1396
775	4816	1390
776	4822	1384
777	4827	1377
778	4833	1371
779	4838	1364
780	4844	1358
781	4849	1351
782	4855	1345
783	4860	1339
784	4865	1332
785	4871	1326
786	4876	1319
787	4881	1313
788	4887	1307
789	4892	1300
790	4898	1294
791	4903	1287
792	4909	1281
793	4914	1275
794	4920	1268
795	4925	1262
796	4930	1255
797	4936	1249
798	4941	1243
799	4947	1236
800	4952	1230
801	4958	1224
802	4963	1217
803	4972	1212
804	4978	1205
805	4984	1199
806	4989	1193
807	4995	1186
808	5002	1180
809	5007	1174
810	5013	1168
811	5019	1162
812	5024	1155
813	5034	1150
814	5041	1144
815	5048	1138
816	5054	1132
817	5064	1126
818	5072	1120
819	5078	1114
820	5088	1109
821	5094	1103
822	5105	1098
823	5116	1092
824	5122	1086
825	5128	1080
826	5137	1074
827	5144	1068
828	5150	1062
829	5158	1056
830	5166	1050
831	5172	1044
832	5179	1038
833	5186	1032
834	5197	1026
835	5206	1021
836	5216	1015
837	5224	1010
838	5233	1004
839	5240	998
840	5247	992
841	5253	985
842	5262	979
843	5268	973
844	5274	967
845	5280	961
846	5286	954
847	5293	948
848	5298	942
849	5308	936
850	5319	931
851	5328	925
852	5333	919
853	5343	913
854	5354	908
855	5360	901
856	5366	895
857	5371	889
858	5377	882
859	5382	876
860	5388	869
861	5394	863
862	5399	857
863	5404	850
864	5410	844
865	5415	838
866	5421	831
867	5426	825
868	5432	818
869	5437	812
870	5443	806
871	5448	799
872	5453	793
873	5459	787
874	5465	780
875	5470	774
876	5477	768
877	5482	761
878	5488	755
879	5496	749
880	5502	743
881	5508	736
882	5513	730
883	5522	724
884	5534	719
885	5544	713
886	5555	707
887	5563	701
888	5568	695
889	5575	689
890	5580	682
891	5585	676
892	5591	670
893	5597	663
894	5603	657
895	5608	651
896	5613	644
897	5619	638
898	5624	631
899	5629	625
900	5635	619
901	5640	612
902	5645	606
903	5651	600
904	5656	593
905	5662	587
906	5667	581
907	5672	574
908	5678	568
909	5683	562
910	5688	555
911	5693	549
912	5698	543
913	5704	536
914	5710	530
915	5715	524
916	5721	517
917	5726	511
918	5731	505
919	5737	498
920	5742	492
921	5748	486
922	5753	480
923	5759	473
924	5764	467
925	5770	461
926	5775	454
927	5781	448
928	5786	442
929	5791	435
930	5796	429
931	5802	423
932	5808	417
933	5813	410
934	5818	404
935	5824	398
936	5829	391
937	5834	385
938	5840	379
939	5845	373
940	5850	366
941	5856	360
942	5861	354
943	5866	348
944	5872	341
945	5877	335
946	5883	329
947	5888	322
948	5893	316
949	5898	310
950	5904	304
951	5909	297
952	5915	291
953	5920	285
954	5925	279
955	5931	272
956	5936	266
957	5941	260
958	5947	254
959	5953	248
960	5958	241
961	5964	235
962	5970	229
963	5975	223
964	5982	216
965	5987	210
966	5992	204
967	5999	198
968	6005	192
969	6011	185
970	6019	179
971	6024	173
972	6031	167
973	6036	161
974	6042	154
975	6049	148
976	6054	142
977	6060	136
978	6065	130
979	6071	123
980	6091	117
981	6097	111
982	6102	105
983	6107	99
984	6113	93
985	6118	86
986	6123	80
987	6129	74
988	6134	68
989	6140	62
990	6145	55
991	6151	49
992	6156	43
993	6162	37
994	6167	30
995	6172	24
996	6178	18
997	6184	12
998	6190	6
999	6200	0
